#BioSample	Organism group	Scientific name	Isolation type	Location	Isolation source	Isolate	Antibiotic	Resistance phenotype	Measurement sign	MIC (mg/L)	Disk diffusion (mm)	Laboratory typing platform	Vendor	Laboratory typing method version or reagent	Testing standard	Create date
SAMN26308577	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340451.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:52:23Z
SAMN26308646	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340452.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:52:31Z
SAMN26304549	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340453.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:52:39Z
SAMN26308347	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340454.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:53:09Z
SAMN26309271	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340455.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:53:17Z
SAMN26309272	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340456.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:53:25Z
SAMN26308790	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340457.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:53:34Z
SAMN26308573	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340458.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:53:42Z
SAMN26309228	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340459.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:53:50Z
SAMN26304452	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340460.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:53:58Z
SAMN26308831	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340461.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:54:06Z
SAMN26305094	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340462.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:54:09Z
SAMN26308414	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340463.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:55:09Z
SAMN26309229	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340464.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:55:17Z
SAMN26309016	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340465.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:55:25Z
SAMN26304495	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340466.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:55:33Z
SAMN26308923	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340467.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:55:43Z
SAMN26304624	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340468.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:55:52Z
SAMN26308940	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340469.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:56:00Z
SAMN26305044	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340470.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:56:08Z
SAMN26304378	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340471.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:56:09Z
SAMN26304785	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340472.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:56:16Z
SAMN26308822	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340473.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:56:19Z
SAMN26304385	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340474.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:56:25Z
SAMN26309391	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340475.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:57:09Z
SAMN26308415	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	Fluid	PDT001340476.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:57:17Z
SAMN26309227	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340477.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:57:25Z
SAMN26308677	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340478.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:57:33Z
SAMN26304606	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340479.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:57:42Z
SAMN26304435	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340480.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:57:50Z
SAMN26305069	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340481.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:57:58Z
SAMN26304638	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340482.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:58:06Z
SAMN26304914	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	other	PDT001340483.1	imipenem	susceptible	==	1	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T17:58:14Z
SAMN26308397	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340484.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:02:09Z
SAMN26309296	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340485.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:02:17Z
SAMN26308821	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340486.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:02:25Z
SAMN26304775	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340487.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:02:33Z
SAMN26309041	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340488.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:02:41Z
SAMN26308682	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340489.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:02:50Z
SAMN26308538	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340490.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:02:58Z
SAMN26309301	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340491.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:03:07Z
SAMN26304545	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340492.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:03:10Z
SAMN26308413	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340493.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:03:15Z
SAMN26305128	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340494.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:03:18Z
SAMN26308748	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340495.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:03:24Z
SAMN26308479	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340496.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:03:27Z
SAMN26304566	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	other	PDT001340497.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:04:09Z
SAMN26304864	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340498.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:04:17Z
SAMN26304671	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340499.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:04:25Z
SAMN26304827	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340500.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:04:35Z
SAMN26304552	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340501.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:04:46Z
SAMN26308533	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340502.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:04:54Z
SAMN26309173	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340503.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:05:02Z
SAMN26308835	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340504.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:05:09Z
SAMN26309230	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340505.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:05:10Z
SAMN26308989	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340506.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:05:20Z
SAMN26304472	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340507.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:05:29Z
SAMN26305006	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340508.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:05:38Z
SAMN26304404	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	wound	PDT001340509.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:05:47Z
SAMN26309273	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340510.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:06:09Z
SAMN26304716	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340511.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:06:17Z
SAMN26304810	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340512.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:06:26Z
SAMN26308718	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340513.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:06:35Z
SAMN26304527	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340514.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:07:09Z
SAMN26305103	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340515.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:07:20Z
SAMN26309122	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340516.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:07:29Z
SAMN26309383	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340517.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:07:37Z
SAMN26309393	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340518.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:07:45Z
SAMN26309410	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340519.1	imipenem	intermediate	==	2	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:07:54Z
SAMN26308651	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340520.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:08:02Z
SAMN26304764	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340521.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:08:09Z
SAMN26308367	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340522.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:08:10Z
SAMN26309204	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340523.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:08:18Z
SAMN26309368	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	Perirectal	PDT001340524.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:08:18Z
SAMN26308548	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340525.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:09:09Z
SAMN26308550	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340526.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:09:17Z
SAMN26304805	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340527.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:09:26Z
SAMN26308478	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340528.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:09:34Z
SAMN26304931	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340529.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:09:42Z
SAMN26304542	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340530.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:09:50Z
SAMN26308511	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	blood	PDT001340531.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:09:59Z
SAMN26305181	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340532.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:10:08Z
SAMN26304391	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340533.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:10:16Z
SAMN26308834	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340534.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:10:24Z
SAMN26308571	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340535.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:10:32Z
SAMN26305079	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340536.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:10:40Z
SAMN26304651	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340537.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:10:48Z
SAMN26308477	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340538.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:10:56Z
SAMN26308818	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340539.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:11:04Z
SAMN26309365	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340540.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:11:09Z
SAMN26304770	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340541.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:12:09Z
SAMN26309072	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340542.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:12:18Z
SAMN26308602	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340543.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:12:26Z
SAMN26309196	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340544.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:12:34Z
SAMN26305229	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340545.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:12:43Z
SAMN26308783	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340546.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:12:51Z
SAMN26304412	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340547.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:13:00Z
SAMN26305222	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340548.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:13:09Z
SAMN26309039	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340549.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:13:20Z
SAMN26308629	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340550.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:13:24Z
SAMN26304461	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340551.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:13:29Z
SAMN26305171	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340552.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:13:32Z
SAMN26305005	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340553.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:13:37Z
SAMN26304358	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340554.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:13:41Z
SAMN26304923	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340555.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:13:45Z
SAMN26304822	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340556.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:14:10Z
SAMN26308436	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340557.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:14:20Z
SAMN26308756	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340558.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:14:28Z
SAMN26308473	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340559.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:14:36Z
SAMN26304349	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340560.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:14:44Z
SAMN26305115	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340561.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:14:52Z
SAMN26305265	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340562.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:15:11Z
SAMN26309100	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340563.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:15:19Z
SAMN26304558	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340564.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:15:28Z
SAMN26305048	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340565.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:15:36Z
SAMN26309315	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340566.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:15:44Z
SAMN26305040	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340567.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:17:09Z
SAMN26304482	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340568.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:17:18Z
SAMN26304484	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340569.1	imipenem	susceptible	<=	0.25	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:17:26Z
SAMN26304662	E.coli and Shigella	Escherichia coli	clinical	USA: District of Columbia	urine	PDT001340570.1	imipenem	susceptible	==	0.5	NA	Phoenix	Becton Dickinson	96-Well Plate	CLSI	2022-06-22T18:17:34Z
